Index[#version],Pointer[#version|],Original,Translated
000,0x11c000,"<@LL,00,00>ここは はい工場だ<CD>元々 何の 工場だったんだろ?","<@LL,00,00>This is an abandoned factory.<D3>I wonder what kind of factory it used to be?"
001,0x11c002,「メダロット研究所」,「Medarot Research Institute」
002,0x11c004,「おみくじ じんじゃ」,「Fortune Shrine」
003,0x11c006,「ギンジョウ小学校」,「Ginjou Elementary School」
004,0x11c008,「セレクトしぶ」,「Select Branch」
005,0x11c00a,"<@LL,00,00>ここは アリカの家だ","<@LL,00,00>Erika's house is here."
006,0x11c00c,"<@LL,00,00>ここは ぼくの家だ","<@LL,00,00>My house is here."
007,0x11c00e,"<@LL,00,00>ここは キクヒメの家だ","<@LL,00,00>This is Kikuhime's house."
008,0x11c010,"<@LL,00,00>ここは イワノイの家だ","<@LL,00,00>This is Iwanoi's house."
009,0x11c012,"<@LL,00,00>ここは カガミヤマの家だ","<@LL,00,00>This is Kagamiyama's house."
010,0x11c014,「メダスピ-ドキング れんしゅう場」,「Meda-Speed King Practice Area」
011,0x11c016,「メダロ-ドレ-ス れんしゅう場」,「Meda-Road Race Practice Area」
012,0x11c018,「この先 ぬかるみの どうくつ<CD>地面が とっても ぬかるんでます」,「Muddy Cave Ahead<D3>The ground is extremely muddy.」
013,0x11c01a,"<@LL,00,00>「ダ-ク...」<CD>? 字が きえかけてて よめないや","<@LL,00,00>「Dark...」<D3>? The letters are fading, I can't read the rest."
014,0x11c01c,「きゅうきゅうセンタ-」,「Emergency Center」
015,0x11c01e,「セレクト本部」,「Select Headquarters」
016,0x11c020,「ウサギちゃんバ-」,「Rabbit-chan Bar」
017,0x11c022,「メダロッタ-ズ」,「Medarotters」
018,0x11c024,「メダロデパ-ト」,「Medaro Department Store」
019,0x11c026,「マンション リゾット」,「Risotto Apartments」
020,0x11c028,「メダロット社」,<f02>Medabot Company
021,0x11c02a,「花園学園」,<f02>Hanazono School
022,0x11c02c,"<@LL,00,04>ここは 花園学園1の お金持ち<CD>ハチロウの 家だ","<@LL,00,04>This is Hachirou's house,<D3>the richest kid in Hanazono Academy."
023,0x11c02e,"<@LL,00,04>ここは ぼくのライバル<CD>コウジの家だ","<@LL,00,04>This is Kouji's house,<D3>my rival."
024,0x11c030,"<@LL,00,01>ここは 花園学園の アイドル<CD>カリンちゅわん♥の家だ","<@LL,00,01>This is Karin-chan's♥ house,<D3>the idol of Hanazono Academy."
025,0x11c032,「からくリ にんじゃやしき」,「Gimmick Ninja Mansion」
026,0x11c034,「シノビックパ-クヘ ようこそ!」,「Welcome to Shinobick Park!」
027,0x11c036,「ジャクナン小学校」,「Jakunan Elementary School」
028,0x11c038,「ウミネコ ロイヤル ホテル」,「Umineko Royal Hotel」
029,0x11c03a,「セレクト隊 ウミネコ しぶ」,「Select Corps Umineko Branch」
030,0x11c03c,「ウミネコ ホテル」,「Umineko Hotel」
031,0x11c03e,"<@LL,00,05>「海の どうくつ」...って<CD>よみにくいなぁ この かんばん","<@LL,00,05>「Ocean Cave」...<D3>This sign is really hard to read."
032,0x11c040,「ロボトルくんれん場」,「Robattle Training Ground」
033,0x11c042,「じっけんしつ<CD>かんけい者いがい 立ち入リきんし」,「Laboratory<D3>Authorized Personnel Only」
034,0x11c044,「セレクト隊 サザンカ町 しぶ」,「Select Corps Sazanka Town Branch」
035,0x11c046,「ゲ-ムセンタ-<CD>...リゃくして ゲ-セン」,「Game Center<D3>...Abbreviated as Game Center」
036,0x11c048,「コンビニ サザンカ町 してん」,「Convenience Store Sazanka Town Branch」
037,0x11c04a,「ウサオちゃん きっさ」,「Usao-chan Cafe」
038,0x11c04c,「この先 サザンカ道場」,「Sazanka Dojo Ahead」
039,0x11c04e,"<@LL,00,00>これは おんなゆの マ-クだ","<@LL,00,00>This is the women's bath mark."
040,0x11c050,"<@LL,00,00>これは おとこゆの マ-クだ","<@LL,00,00>This is the men's bath mark."
041,0x11c052,「おんせんの てんねん どうくつ」,「Hot Spring Natural Cave」
042,0x11c054,「がんばれ あと 少し」,「Hang in there, just a little further」
043,0x11c056,「山道では たきゃくが さいてき!」,「Multi-legs are optimal on mountain paths!」
044,0x11c058,メダリンク うけつけは<CD>しゅうリょういたしました,Medalink reception<D3>is now closed.
045,0x11c05a,"<@LL,00,00>ずかんや じしょが<CD>たくさん ならんでる","<@LL,00,00>Manuals and dictionaries<D3>are all lined up."
046,0x11c05c,"<@LL,00,00>ピアノが ひけたらいいなぁ","<@LL,00,00>I wish I could play the piano."
047,0x11c05e,"<@LL,00,00>がくふが たくさん おいてあるよ","<@LL,00,00>There are a lot of sheet music books here."
048,0x11c060,"<@LL,00,04>よし! きょうも ばっちリ","<@LL,00,04>Alright! Looking perfect today."
049,0x11c062,"<@LL,00,00>むずかしい本が ならんでいるよ","<@LL,00,00>There are a lot of difficult books lined up."
050,0x11c064,"<@LL,00,04>よし! きょうも ばっちリ<CF><@LL,00,06>って 言っている ばあいじゃないよ<CD>早く 出なくちゃ!","<@LL,00,04>Alright! Looking perfect today.<CF><@LL,00,06>This is no time to be saying that!<D3>I have to get out of here, fast!"
051,0x11c066,「メダロットの ちしき<CD> ティンペット」<CF>ティンペットは 男型と 女型の<CD>2しゅるいに わかれておリ<CF>それぞれに たいおうした パ-ツしか<CD>そうちゃく できない<CF>ティンペットは 全部で<CD>9体まで 持つことができる<CF>いちど 手に入れた ティンペットは<CD>すてることが できないので<CF>男型と 女型を バランスよく<CD>ゲットしていく ひつようがある,"<f02>Medabot Knowledge: Tinpets<CF><f00>Tinpets are divided into two types: male and female.<CF>Each type can't equip parts made for the other type.<CF>Nine tinpets can be held in all.<CF>Once recieved, a tinpet can't be thrown away. Therefore,<CF>It is necessary to strike a balance between male and female tinpets."
052,0x11c068,「メダロットの ちしき<CD> じゅくれんど」<CF>メダルは それぞれ じゅくれんどを<CD>3つしか 持っていない<CF>使いたい パ-ツの<CD>じゅくれんどを 持っていない時は<CF>メダリアを そうちゃくして<CD>サポ-トする方がよい,"<f02>Medarot Knowledge: Skills<f00><CF>Each Medal has only 3 skills.<CF>If you want to use a skill you lack, it is best to use a Medalia to support it."
053,0x11c06a,「メダロットの ちしき<CD> メダリア」<CF>メダリアは 全部で 10しゅるいあリ<CD>30個まで 持つことができる<CF>パ-ツに ひつような じゅくれんどが<CD>メダルに ないときでも<CF>メダリアを つければ<CD>じゅくれんどの かわリになる<CF>メダルと メダリアの じゅくれんどが<CD>同じ ないようの時は<CF>じゅくれんどの すうちが<CD>高い方が 行動に はんえいされる<CF>しかし ひくい方も じゅくれんどが<CD>せいちょう するので<CF>なるベくメダリアを つけて<CD>ロボトルする方が よい,"<f02>Medarot Knowledge: Medalia<CF><f00>There are a total of 10 types of Medalia and 30 can be held at once.<CF>Even if a Medal doesn't have the required proficiency for a specific part, it is possible to use a Medalia to improve the Medal's proficiency.<CF>When the skill values of a Medal and Medalia differ, the higher value is used.<CF>However, a lower Medalia value will earn experience faster so it may be beneficial to use it anyway."
