Index[#version],Pointer[#version|],Original,Translated
000,0xc83c6,<SFF>「ひこう」の<CD>脚部のタイプが<CD>とくいな<CD>フィ-ルドは?<*04>,<SFF>What field is the<D3><f02>Flying<f00> leg type<D3>best suited for?<*04>
001,0xc83c8,<SFF>さばく.アリジゴク<*04>,<SFF>Desert / Antlion<*04>
002,0xc83ca,<SFF>くうちゅう.うちゅう<*04>,<SFF>Air / Space<*04>
003,0xc83cc,<SFF>ぎんが.さばく<*04>,<SFF>Galaxy / Desert<*04>
004,0xc83ce,<SFF>メダロットの<CD>メダチェンジ<CD>ゲ-ム中に<CD>つかえるものは?<*04>,<SFF>What is the name of<D3>the Medachange mode<D3>used in-game?<*04>
005,0xc83d0,<SFF>レクリスモ-ド<*04>,<SFF>Reckless Mode<*04>
006,0xc83d2,<SFF>レリクスモ-ド<*04>,<SFF>Relics Mode<*04>
007,0xc83d4,<SFF>がむしゃらモ-ド<*04>,<SFF>Berserk Mode<*04>
008,0xc83d6,<SFF>「レ-ザ-」の<CD>パ-ツが きかない<CD>メダロットは?<CD><*04>,<SFF>Which Medarot is<D3>immune to <f02>Laser<f00><D3>parts?<D3><*04>
009,0xc83d8,<SFF>ノミ<*04>,<SFF>Flea<*04>
010,0xc83da,<SFF>ダニ<*04>,<SFF>Tick<*04>
011,0xc83dc,<SFF>シラミ<*04>,<SFF>Louse<*04>
012,0xc83de,<SFF>「ミサイル」の<CD>パ-ツが きかない<CD>メダロットは?<CD><*04>,<SFF>Which Medarot is<D3>immune to <f02>Missile<f00><D3>parts?<D3><*04>
013,0xc83e0,<SFF>ダニ<*04>,<SFF>Tick<*04>
014,0xc83e2,<SFF>シラミ<*04>,<SFF>Louse<*04>
015,0xc83e4,<SFF>ノミ<*04>,<SFF>Flea<*04>
016,0xc83e6,<SFF>「ブレイク」の<CD>パ-ツが きかない<CD>メダロットは?<CD><*04>,<SFF>Which Medarot is<D3>immune to <f02>Break<f00><D3>parts?<D3><*04>
017,0xc83e8,<SFF>シラミ<*04>,<SFF>Louse<*04>
018,0xc83ea,<SFF>ノミ<*04>,<SFF>Flea<*04>
019,0xc83ec,<SFF>ダニ<*04>,<SFF>Tick<*04>
020,0xc83ee,<SFF>おとこ型の<CD>パ-ツにない<CD>しゅるいは どれ?<CD><*04>,<SFF>Which of these is not<D3>a male-type part?<D3><*04>
021,0xc83f0,<SFF>フリ-ズ<*04>,<SFF>Freeze<*04>
022,0xc83f2,<SFF>サクリファイス<*04>,<SFF>Sacrifice<*04>
023,0xc83f4,<SFF>カウントダウン<*04>,<SFF>Countdown<*04>
024,0xc83f6,<SFF>スクリュ-ズは<CD>キクヒメと<CD>イワノイ<CD>あと ひとリは?<*04>,"<SFF>The Screws are Kikuhime,<D3>Iwanoi, and who else?<D3><*04>"
025,0xc83f8,<SFF>カガミヤマ<*04>,<SFF>Kagamiyama<*04>
026,0xc83fa,<SFF>カガミモチ<*04>,<SFF>Kagamimochi<*04>
027,0xc83fc,<SFF>クボタ<*04>,<SFF>Kubota<*04>
028,0xc83fe,<SFF>スクリュ-ズの中で<CD>ブル-スドッグの<CD>マスタ-は?<CD><*04>,"<SFF>Among the Screws, who is<D3>Bluesdog's master?<D3><*04>"
029,0xc8400,<SFF>イワノイ<*04>,<SFF>Iwanoi<*04>
