Index[#version],Pointer[#version|],Original,Translated
000#kabuto,0x118da3,わたしを こえられるかな?<CD><*02>,Will you surpass me?<*02>
000#kuwagata,0x118da3,少年よ わたしを こえてゆけ!<CD><*02>,"Surpass me, boy!<*02>"
001#kabuto,0x118da5,きみの かがやかしい<CD>みらいに かんぱいだ!<*02>,Cheers to your glorious future!<*02>
001#kuwagata,0x118da5,おみごと!<CD>わたしの まけだな<*02>,Excellent! I've been defeated.<*02>
002#kabuto,0x118da7,今日は 本気で 行くわよ!<CD><*02>,I'll go all out today!<D3><*02>
002#kuwagata,0x118da7,勝たせて あげないわよ!<CD><*02>,I won't let you win!<D3><*02>
003#kabuto,0x118da9,ちょっと- これって どういうこと?<CD><*02>,"Hey, how did things end up this way?<*02>"
003#kuwagata,0x118da9,ふ-んだ い-も-ん!<CD><*02>,"Hmph, fine then!<D3><*02>"
004#kabuto,0x118dab,おてやわらかに おねがいしますわ♥<CD><*02>,Please go easy on me ♥<D3><*02>
004#kuwagata,0x118dab,わくわく しますわ♥<CD><*02>,I am so excited ♥<D3><*02>
005#kabuto,0x118dad,楽しかったですわ♥<CD><*02>,That was fun ♥<D3><*02>
005#kuwagata,0x118dad,また おあいて してくださいね♥<CD><*02>,Please be my opponent again ♥<D3><*02>
006#kabuto,0x118daf,おれは いつだって 本気だぜ!<CD><*02>,I'm always serious!<D3><*02>
006#kuwagata,0x118daf,おれの 本気を 貝せてやる!<CD><*02>,I'll show you how serious I am!<D3><*02>
007#kabuto,0x118db1,まだまだ これからだぜ!<CD><*02>,We're just getting started!<D3><*02>
007#kuwagata,0x118db1,...ふっ もえたぜ<CD><*02>,"...Hmph, I'm fired up.<D3><*02>"
008#kabuto,0x118db3,快盗レトルト ただいま さんじょう!<CD><*02>,"Phantom Renegade, arriving on the scene!<D3><*02>"
008#kuwagata,0x118db3,わたしは カレ-なる メダロッタ-!<CD><*02>,I am a magnificent Medafighter!<D3><*02>
009#kabuto,0x118db5,少年よ わたしを こえてゆけ<CD><*02>,"Surpass me, boy.<D3><*02>"
009#kuwagata,0x118db5,ふはははは!<CD>レトルトは ふめつなリ!<*02>,Fuhahaha!<D3>Renegade is immortal!<*02>
010#kabuto,0x118db7,きみの 力を 貝せてもらうよ<CD><*02>,Let me see your power.<D3><*02>
010#kuwagata,0x118db7,いくせいは じゅんちょうかい?<CD><*02>,Is your training going smoothly?<D3><*02>
011#kabuto,0x118db9,やっぱリ すごいよ きみは<CD><*02>,You really are amazing.<D3><*02>
011#kuwagata,0x118db9,うまく そだててる みたいだね<CD><*02>,It seems you're raising them well.<D3><*02>
012#kabuto,0x118dbb,い-きに なってんじゃ ないわよぉ!<CD><*02>,Don't get full of yourself!<*02>
012#kuwagata,0x118dbb,あたしを だれだと 思ってんのぉ?<CD><*02>,Who do you think I am?<D3><*02>
013#kabuto,0x118dbd,あんたの そ-ゆ-ところが<CD>キライなのよぉ!<*02>,This is why I can't stand you!<*02>
013#kuwagata,0x118dbd,ふうリんの キクヒメさまを<CD>なめるんじゃないわよぉ!<*02>,Don't underestimate Furin's<D3>Kikuhime-sama!<*02>
014#kabuto,0x118dbf,天才ハッカ-の 名にかけてっ!!<CD><*02>,On my name as a genius hacker!!<D3><*02>
014#kuwagata,0x118dbf,スクリュ-ズの 名にかけてっ!!<CD><*02>,On the name of the Screws!!<D3><*02>
015#kabuto,0x118dc1,ちくしょ-っ! おぼえてろ-っ!!<CD><*02>,Dammit! Remember this!!<D3><*02>
015#kuwagata,0x118dc1,あねごに 言いつけてやる-っ!<CD><*02>,I'll tell the boss on you!<D3><*02>
